Question,Answer
"What are the different types of products offered by CPC Corporation, Taiwan in terms of fuel and oil?","CPC Corporation, Taiwan offers Fuel Oil, Lube Oil, Petrochemicals, SNC Products, LPG Products, Natural Gas, RBD Products, Aviation Fuel, and Marine Fuel."
"Where is the head office of CPC Corporation, Taiwan located?","The head office of CPC Corporation, Taiwan is located at NO.2, TSO-NAN RD., NAN-TZU DIST., KAOHSIUNG, TAIWAN 81126 R.O.C."
"What is the contact phone number for the Taipei office of CPC Corporation, Taiwan?","The contact phone number for the Taipei office of CPC Corporation, Taiwan is 886-2-87898989."
"In which districts are the offices of CPC Corporation, Taiwan located in Taiwan?","The offices of CPC Corporation, Taiwan are located in Nan-Tzu District, Kaohsiung (head office) and Sinyi District, Taipei City (Taipei office)."
"What are the different types of fuel products for which CPC Corporation, Taiwan provides pricing information?","CPC Corporation, Taiwan provides pricing information for Aviation Fuel, Marine Fuel, and Retail Pump Prices."
"What is the toll-free number for CPC Corporation, Taiwan?","The toll-free number for CPC Corporation, Taiwan is 1912."
"What is the significance of the acronym ""SNC"" in the context of products offered by CPC Corporation, Taiwan?","The acronym ""SNC"" stands for a specific type of product offered by CPC Corporation, Taiwan."
"How can customers access the pricing information for CPC Corporation, Taiwan products?","Customers can access pricing information for CPC Corporation, Taiwan products through the company's official website."
"What is the location address and contact details for the Taipei office of CPC Corporation, Taiwan?","The Taipei office of CPC Corporation, Taiwan is located at No.3, Songren Rd., Sinyi District, Taipei City, Taiwan 11010 R.O.C. The contact phone number is 886-2-87898989."
"What are the three major institutes responsible for Research and Development (R&D) at CPC Corporation, Taiwan?","The three major institutes responsible for R&D at CPC Corporation, Taiwan are the Exploration & Development Research Institute (EDRI) in Miaoli, the Refining & Manufacturing Research Institute (RMRI) in Chiayi, and the Green Technology Research Institute (GTRI) in Kaohsiung."
In what areas does the Exploration & Development Research Institute (EDRI) primarily focus its research efforts?,"The EDRI primarily focuses on the analysis of domestic and foreign geological/stratigraphic data for the evaluation of oil and gas reserves, technological development on exploration, drilling and extraction methodology, environmental monitoring, geothermal resource development, and carbon sequestration."
"How much did CPC Corporation, Taiwan expend on Research and Development (R&D) in 2021?","CPC Corporation, Taiwan expended about NT$3.666 billion on Research and Development (R&D) in 2021."
"What are some of the R&D achievements of the Exploration & Development Research Institute at CPC Corporation, Taiwan?","Some R&D achievements of the Exploration & Development Research Institute at CPC Corporation, Taiwan include re-evaluating Oryx fields' Original Oil in Place (OOIP), conducting an analysis of the petroleum system of the Roebuck Basin, and planning a road map for carbon capture, utilization and storage (CCUS) technological development."
"What new production processes were developed by the Refining & Manufacturing Research Institute at CPC Corporation, Taiwan?","The Refining & Manufacturing Research Institute developed new production processes such as a new light diesel engine motor oil formulation, environmentally-friendly precision machinery cutting oil, and the development and application of styrene recycling technology."
"How does the Green Technology Research Institute (GTRI) at CPC Corporation, Taiwan contribute to research and development in the company?","The GTRI at CPC Corporation, Taiwan is dedicated to R&D related to biofuels, renewable energy, green materials, and is responsible for pilot production on advanced projects."
What is the focus of the R&D efforts at the Exploration & Development Research Institute regarding carbon sequestration?,"The Exploration & Development Research Institute focuses on planning a road map for carbon capture, utilization and storage (CCUS) technological development in cooperation with the RMRI and conducted a preliminary assessment of the domestic potential carbon storage sites."
"How does the Refining & Manufacturing Research Institute at CPC Corporation, Taiwan contribute to pollution control?",The Refining & Manufacturing Research Institute contributes to pollution control through the development of environmentally-friendly precision machinery cutting oil and the completion of groundwater soil remediation and detection services in refinery polluted sites.
"What are some examples of the on-going R&D projects at CPC Corporation, Taiwan's institutes?",Examples of on-going R&D projects include the evaluation of the feasibility of contract extension for Block 17 in Ecuador and the development and application of magnetic filters and packing technology.
"How does CPC Corporation, Taiwan's R&D initiatives align with its core values?","CPC Corporation, Taiwan's R&D initiatives align with its core values by emphasizing technological innovation and corporate sustainability through research in areas such as biofuels, renewable energy, and pollution control."
What are the main focuses of CPC Corporation's research and development efforts as mentioned in the provided text?,"The main focuses include ensuring pipeline safety, developing carbon materials for lithium ion batteries, optimizing production processes, technology transfer of various oil products, improving dielectric properties for high-speed communication, developing bio-based and bio-degradable plastics, novel biomaterials for cosmetics/medical products, and promoting green technologies like PV systems and Smart & Green e-stations."
How does CPC Corporation contribute to pipeline safety according to the provided information?,"CPC Corporation conducts continuous surveillance of stray electric currents from MRT systems on pipelines, assists in diagnosing boiler pipe problems, and ensures safety through their proprietary refining process and conversion of heavy oil to carbon materials for lithium ion batteries."
Which specific products has CPC Corporation developed in terms of motor oil and related products?,"CPC Corporation has developed CPC Racing CVT, Mirage PRO CVTF, various fully synthetic motor oils, and API ST 0W/20 passenger car engine oil among other related products."
How does CPC Corporation contribute to environmental protection with their plastics development according to the information provided?,CPC Corporation focuses on developing bio-based and bio-degradable plastics like polylactic acid (PLA) and polyhydroxyalkanoates (PHAs) from non-food types of feedstocks to reduce pollution caused by synthetic plastics and comply with national plastic restriction policies.
What novel material has CPC Corporation developed to meet the requirements of high-speed 5G communication transmission?,"CPC Corporation has improved the dielectric properties of traditional substrate resin materials to meet the requirements of high-frequency/speed transmission for 5G communication, resulting in a novel resin material."
How has CPC Corporation ventured into the retail market with cosmetics/medical products?,CPC Corporation has developed novel biomaterials including whitening and antimicrobial ingredients to make cosmetics/medical products using their own materials for retail market entry.
How does CPC Corporation ensure stable operation of PV systems and promote solar energy according to the information provided?,"CPC Corporation established an Operations and Maintenance Center for PV Systems, which currently ensures the stable operation of over 230 sites with a total capacity of 11.337MW, and operates Smart & Green e-stations which integrate solar PV, fuel cells, and lithium titanate batteries for green energy promotion."
In what ways does CPC Corporation contribute to energy saving and efficiency enhancement based on the information provided?,"CPC Corporation optimizes gasoline, diesel, and petrochemical raw material production processes, offers advisory services for on-site problem resolution and operational efficiency enhancement to achieve energy-saving goals."
How does CPC Corporation approach the development of novel biomaterials for cosmetics/medical products?,CPC Corporation develops whitening and antimicrobial ingredients for cosmetics/medical products to break into the retail market using their own materials.
What is the significance of CPC Corporation's development of biomaterials for cosmetics/medical products?,"The development of novel biomaterials by CPC Corporation aims to create cosmetics/medical products that utilize their own materials, thereby contributing to the retail market with unique ingredients."
"What is the capacity retention percentage of the 1200F super-capacitor over 20,000 cycles?","The capacity retention of the super-capacitor over 20,000 cycles is 80%."
What voltage range can the 1200F super-capacitor charge and discharge between?,The 1200F super-capacitor can charge and discharge between 1.35V to 2.7V.
What is the current rating at which the 1200F super-capacitor operates during charging and discharging?,The 1200F super-capacitor operates at a current of 40A during charging and discharging.
What is the purpose of conducting ongoing field verification of high and low-temperature fuel cells for distributed power generation?,"The purpose is to establish a monitoring system and a big data database for data collection, analysis, and further applications."
What scale is the LTO demonstration plant currently under construction?,The LTO demonstration plant is under construction at a thousand-ton per year scale.
What type of battery system were the proprietary low-cost LTO materials sold for?,The proprietary low-cost LTO materials were sold for use in an LTO battery system as an emergency power backup in buildings.
What is the critical testing center where the LTO electric bus passed six performance tests?,The LTO electric bus passed six critical performance tests at the Automotive Research & Testing Center.
What is the innovation topic for which the 2021 EU Seagriculture Gold Award was awarded?,The award was given for the cultivation of seaweeds using cold seawater drainage from the Yongan LNG terminal to fulfill the circular economy for energy and water.
What bio-refinery production process was developed for 5-Hydroxymethylfurfural (5-HMF) in compliance with national restrictions on plastics?,The bio-refinery production process for 5-Hydroxymethylfurfural (5-HMF) was developed in compliance with national restrictions on plastics.
What application does the new low-carbon emission polyol-based polyurethane material have in reducing VOC emissions?,The material was applied to the roof of oil tanks to reduce the average liquid temperature inside and roof VOC emissions.
How has CPC Corporation in Taiwan demonstrated its commitment to environmental protection efforts according to the provided context?,"CPC Corporation has demonstrated its commitment to environmental protection efforts through various measures such as improving wastewater disposal, air pollution control, waste treatment, soil and groundwater contamination mitigation, implementation of environmental protection policies, active pollution prevention, utilization of low pollution production processes, and utilization of best available control technology (BACT) and equipment for pollution reduction."
What ecologically beneficial measures has CPC Corporation implemented in recent years to contribute to a sustainable environment?,"In recent years, CPC Corporation has implemented ecologically beneficial measures such as improving the quality of petroleum products, reducing energy consumption and waste, adapting to climate change, investing over NT$50 billion in environmental protection efforts since 1989, adopting the ISO 14001 standard for environmental management, deploying an environmental accounting system, and introducing appropriate environmental protection measures in response to potential risks in development projects."
How has CPC Corporation incorporated environmental impact assessments (EIA) into its development projects?,"CPC Corporation has incorporated environmental impact assessments (EIA) into its development projects by introducing appropriate environmental protection measures, maintaining comprehensive monitoring systems for environmental quality and biological diversity protection, achieving standards in atmospheric emissions higher than national regulations, and following through on commitments written into the respective EIA to enhance environmental protection performance."
How is the marine ecological preservation committee at Guantang Industrial Park in Taiwan contributing to environmental conservation?,"The marine ecological preservation committee at Guantang Industrial Park in Taiwan contributes to environmental conservation by providing consultation and review of environmental protection efforts and achievements, aiming to achieve marine environmental conservation and sustainable community development in the region."
What are some of the key findings from the algal reef ecology monitoring conducted by CPC Corporation in Taiwan?,"Some key findings from the algal reef ecology monitoring conducted by CPC Corporation in Taiwan include the presence of 42 algal species in total, with varying numbers of macroalgae and crustose coralline algae across different algal reef stations, indicating rich biodiversity and ecosystem health in the region."
"How has CPC Corporation collaborated with environmental organizations to enhance habitat restoration for little terns in Taoyuan, Taiwan?","CPC Corporation has collaborated with the Wild Bird Society of Taoyuan and the Taoyuan City Government to enhance habitat restoration for little terns, resulting in a significant increase in the reproduction success rate from 17%-30% to 68%, showcasing their dedication to ecological conservation and successful cooperation with environmental protection organizations."
What has been the impact of CPC Corporation's efforts in reducing greenhouse gases in Taiwan in alignment with national policies?,"CPC Corporation's efforts in reducing greenhouse gases in Taiwan in alignment with national policies have led to significant reductions in emissions, continuous monitoring through greenhouse gas inventory calculations, and compliance with the Taiwan Greenhouse Gas Reduction and Management Act to address climate change risks effectively."
How has CPC Corporation contributed to the preservation of atmospheric quality standards in Taiwan?,"CPC Corporation has contributed to the preservation of atmospheric quality standards in Taiwan by achieving emission standards higher than those stipulated in national environmental protection regulations, implementing pollution control technologies and facilities, and consistently monitoring and improving environmental performance across its operations."
In what ways has CPC Corporation integrated environmental protection policies into its business units since 1995?,"Since 1995, CPC Corporation has integrated environmental protection policies into all its business units by adopting the ISO 14001 environmental management standard, receiving official certifications for 24 units by the end of 2021, and deploying an environmental accounting system to enhance environmental protection performance and compliance with global environmental trends."
What role does CPC Corporation play in adapting to climate change and sustainable practices in its operations?,"CPC Corporation plays a key role in adapting to climate change and sustainable practices by investing in environmental protection efforts, introducing energy and waste reduction measures, aligning with global climate change initiatives, and collaborating with stakeholders to promote ecological conservation and sustainable development in Taiwan."
How has CPC reduced its greenhouse emissions from 2005 to 2020?,"CPC has reduced its greenhouse emissions by about 38.6% from 2005 to 2020 through the implementation of various measures such as using clean fuel, clean production, equipment efficiency improvement, energy saving, and waste reduction."
What percentage of electricity costs did CPC save from January to November 2021?,CPC saved 1.5% of electricity costs from January to November 2021.
What type of lighting did CPC's offices switch to by September 2020?,CPC's offices had switched to all-LED lighting by September 2020.
How many climate risk assessments and reports were completed by CPC between 2018 and 2020?,CPC completed climate risk assessments and reports for 24 plants between 2018 and 2020.
What are the main air pollutants emitted by CPC's oil refineries and petrochemical plants?,"The main air pollutants emitted by CPC's oil refineries and petrochemical plants include total suspended particulate (TSP), sulfur oxides (SOx), nitrogen oxides (NOx), and volatile organic compounds (VOCs)."
How does CPC contribute to environmental education and community involvement?,"CPC actively promotes environment-related education, supports local ecological issues, develops environmental education facilities, and participates in activities like park and forest adoption, garbage clean-ups, and marine pollution remediation to foster environmental protection and community development."
When was CPC's Taiwan Oil Field Exhibition Hall officially certified as an environmental education facility?,"CPC's Taiwan Oil Field Exhibition Hall was officially certified as an environmental education facility on August 22, 2017."
What measures will CPC continue to implement to reduce air pollution?,"CPC will continue implementing various measures to reduce air pollution, such as deploying pollution-control technology, introducing highly efficient processes, investing in the circular economy, and waste recycling."
How does CPC demonstrate its loyalty to protecting the nation's environment?,"CPC demonstrates loyalty by striving to raise its environmental performance through deploying pollution-control technology, introducing efficient processes, investing in the circular economy, waste recycling, and promoting sustainability in operations."
How has CPC ensured compliance with regulatory requirements for pollution remediation?,"CPC has proposed and implemented pollution response, control, and remediation plans in line with regulatory requirements such as the Soil and Groundwater Pollution Remediation Act introduced by Taiwan's Environmental Protection Agency."
When did the Environmental Protection Bureau of Kaohsiung City Government approve CPC's pollution control plan?,"The Environmental Protection Bureau approved CPC's pollution control plan on December 16, 2016."
What administrative action did CPC take in 2021 to speed up the revitalization of Kaohsiung Refinery land?,"CPC signed an administrative contract with Kaohsiung City Government on May 13, 2021, entrusting them to remediate and complete the delisting of polluted sites."
How many sites were listed for pollution control by CPC in 2021?,CPC had 28 sites listed for pollution control in 2021.
What governmental body did CPC present their pollution control plan to for review?,CPC presented their pollution control plan to the Environmental Protection Bureau of Kaohsiung City Government.
What is the toll-free number mentioned in the text?,The text mentions the toll-free number 1912.
In which city is CPC's Kaohsiung Refinery located?,"CPC's Kaohsiung Refinery is located in Kaohsiung, Taiwan."
"How does CPC Corporation, Taiwan maintain stable crude oil supply for domestic requirement?","CPC Corporation, Taiwan maintains stable crude oil supply for domestic requirement by directly negotiating with the government of producing countries, national oil companies, equity producers, or approved oil traders, without any intermediaries."
"What are the criteria for the Crude-Oil Quality accepted by CPC Corporation, Taiwan?","The Crude-Oil Quality accepted by CPC Corporation, Taiwan should have an API range of 20 to 45 or 49 to 65, and a Pour Point not exceeding 10 degrees Celsius. Suppliers are required to provide a crude assay or sample for analysis to ensure suitability for refining."
"What is the procedure for CPC Corporation, Taiwan to negotiate procurement conditions with potential suppliers?","The procedure for CPC Corporation, Taiwan to negotiate procurement conditions with potential suppliers involves direct negotiation with producing countries, national oil companies, equity producers, or approved oil traders. No commission is paid to intermediaries or employees of either party."
"How does CPC Corporation, Taiwan decide if the supplied crude oil meets the refinery's requirements?","CPC Corporation, Taiwan decides if the supplied crude oil meets the refinery's requirements by requesting a crude assay and analyzing samples when necessary. The suitability for refining is determined based on the analysis results."
"What considerations does CPC Corporation, Taiwan take into account when discussing sales/purchase agreements with suppliers?","CPC Corporation, Taiwan considers favorable yield and transportation costs comparable to similar crude oils when discussing sales/purchase agreements with suppliers. Consideration is also given to the overall crude oil purchase plan and refining optimization."
"What types of counterparts does CPC Corporation, Taiwan engage with in its crude oil procurement procedure?","CPC Corporation, Taiwan engages with the government of producing countries, national oil companies, equity producers, and approved oil traders as counterparts in its crude oil procurement procedure."
"Why does CPC Corporation, Taiwan prefer to negotiate directly without involving third parties in its crude oil procurement?","CPC Corporation, Taiwan prefers to negotiate directly without involving third parties in its crude oil procurement to maintain transparency, avoid paying commissions to intermediaries, and ensure closer alignment with its refining needs."
